$JunkItMCM	Junk It
$JunkIt_ValueLowToHigh_ENUM	Hodnota [Nízká > Vysoká]
$JunkIt_ValueWeightHighToLow_ENUM	Hodnota/Hmotnost [Vysoká > Nízká]
$JunkIt_ValueWeightLowToHigh_ENUM	Hodnota/Hmotnost [Nízká > Vysoká]
$JunkIt_Chaos_ENUM	Chaos - Žádná priorita
$JunkIt_ProtectionsHeader	Nastavení ochrany
$JunkIt_ProtectEquippedToggle	Chránit vybavené předměty
$JunkIt_ProtectEquippedToggle_Help	Zabraňuje tomu, aby vybavené předměty byly považovány za "Odpad"
$JunkIt_ProtectFavoritesToggle	Chránit oblíbené předměty
$JunkIt_ProtectFavoritesToggle_Help	Zabraňuje tomu, aby oblíbené předměty byly považovány za "Odpad"
$JunkIt_ProtectEnchantedToggle	Neprodávat hromadně očarované předměty
$JunkIt_ProtectEnchantedToggle_Help	Chrání očarované odpadové předměty před prodejem při akcích hromadného prodeje.
$JunkIt_MiscSettingsHeader	Různá nastavení
$JunkIt_NotifyOnMarkUnmark	Oznámení o označení/zrušení označení
$JunkIt_NotifyOnMarkUnmark_Help	Povolí oznámení pokaždé, když označíte nebo zrušíte označení předmětů jako odpad
$JunkIt_NotifyOnJunkTransfer	Oznámení o přenosu
$JunkIt_NotifyOnJunkTransfer_Help	Povolí oznámení související s akcemi hromadného přenosu
$JunkIt_NotifyOnJunkSell	Oznámení o prodeji
$JunkIt_NotifyOnJunkSell_Help	Povolí oznámení související s akcemi hromadného prodeje
$JunkIt_NotifyLargeInventoryLag	Varovat při velkých přenosech inventáře
$JunkIt_NotifyLargeInventoryLag_Help	Povolí varovnou zprávu při přenášení/prodávání v kontejnerech obsahujících velké množství předmětů. Pokud kontejner má příliš mnoho předmětů, herní engine se zpomaluje během přenosů předmětů. Čím více předmětů v kontejneru, tím větší zpomalení nastává během přenosů předmětů jak pro JunkIt, tak pro normální přenosy jednotlivých předmětů.
$JunkIt_WarnInventorySizeThreshold	Prahová hodnota varování velikosti inventáře
$JunkIt_WarnInventorySizeThreshold_Help	Celkový počet předmětů v kontejneru a inventáři hráče, který spustí varování o velkém inventáři. Upravte podle vašeho nastavení. Slabší počítače pravděpodobně budou chtít snížit toto na 100.
$JunkIt_UtilityHeader	Nástroje
$JunkIt_JunkList_Page	Seznam odpadu
$JunkIt_JunkList_UtilityHeader	Nástroje seznamu odpadu
$JunkIt_ResetJunk	Obnovit seznam odpadu
$JunkIt_ResetingJunk	Obnovuji odpad, prosím čekejte...
$JunkIt_JunkReset	Seznam odpadu obnoven!
$JunkIt_ResetJunk_Help	Vymaže všechny odpadové předměty a obnoví je do předchozího stavu
$JunkIt_SaveJunkListToFile	Exportovat seznam odpadu
$JunkIt_SavingJunkList	Exportuji seznam, prosím čekejte...
$JunkIt_JunkSaved	Seznam odpadu exportován!
$JunkIt_SaveJunkListToFile_Help	Exportuje aktuálně označené odpadové předměty, to může být později importováno pro shodnutí s vaším aktuálním seznamem odpadu
$JunkIt_AutoSaveJunkListToFile	Automatický export při uložení
$JunkIt_AutoSaveJunkListToFile_Help	Pokud je povoleno, seznam předmětů, které jste označili jako "Odpad", bude exportován do souboru pokaždé, když uložíte hru.
$JunkIt_LoadJunkListFromFile	Importovat seznam odpadu
$JunkIt_LoadingJunkList	Importuji seznam, prosím čekejte...
$JunkIt_JunkLoaded	Seznam odpadu aktualizován!
$JunkIt_JunkReplaced	Seznam odpadu nahrazen!
$JunkIt_LoadJunkListFromFile_Help	Importuje odpadové předměty ze souboru
$JunkIt_AutoLoadJunkListFromFile	Automatický import při nové hře
$JunkIt_AutoLoadJunkListFromFile_Help	Pokud je povoleno, nové hry automaticky importují předměty k předběžnému označení jako "Odpad"
$JunkIt_ReplaceJunkListOnLoad	Nahradit aktuální seznam odpadu při importu
$JunkIt_ReplaceJunkListOnLoad_Help	Pokud je povoleno, import seznamu odpadu obnoví a nahradí vaše aktuálně označené předměty. Pokud je zakázáno, importované předměty seznamu odpadu budou přidány do vašeho aktuálního seznamu označených předmětů.
$JunkIt_JunkList_ListHeader	Historie seznamu odpadu
$JunkIt_PreviousPage	Předchozí stránka
$JunkIt_NextPage	Další stránka
$JunkIt_JunkList_Item_Help	Klikněte pro přepnutí, zda je tento předmět odpad nebo ne
$AutoloadJunkList_Header	Automatizovaná nastavení seznamu odpadu
$JunkIt_TransferConfirmation	Přenést odpadové předměty?
$JunkIt_RetrievalConfirmation	Získat odpadové předměty?
$JunkIt_SellConfirmation	Prodat odpadové předměty?
$JunkIt_TransferConfirmYes	Přenést
$JunkIt_RetrieveConfirmYes	Vzít
$JunkIt_SellConfirmYes	Prodat
$JunkIt_ConfirmNo	Zrušit
$Maintenance_Page	Údržba
$AutoloadSettings_Header	Nastavení automatického načítání
$Enabled	Povoleno
$EnabledMaintenance_Help	Zrušte tuto volbu, pokud nechcete, aby byly načítány proměnné specifické pro mod. To se nevztahuje na proměnné v konfiguračním souboru a když je skript upgradován na novější verzi. Zakázání této volby je užitečné, když jsou konflikty s jinými mody během automatického načítání.
$LoadingDelay	Zpoždění načítání
$LoadingDelayMaintenance_Help	Zpoždění načítání nastavení v sekundách. Užitečné, pokud mod potřebuje čas na inicializaci.
$LoadSettings	Načíst nastavení
$LoadSettingsMaintenance_Help	Vynutí modu znovu načíst nastavení. Užitečné, pokud je automatické načítání zakázáno.
$ResetSettings	Obnovit nastavení
$ResetSettingsMaintenance_Help	Obnoví nastavení na výchozí hodnoty.
$LoadSettingsOnReload	Načíst nastavení při opětovném načtení
$LoadSettingsOnReloadMaintenance_Help	Zaškrtněte tuto volbu, pokud chcete, aby byla nastavení načítána pokaždé, když načtete hru. Užitečné, pokud máte něco, co vrací nastavení zpět. Tato volba nebude fungovat, pokud základní mod nepoužívá událost OnGameReload nebo pokud jste zakázali automatické načítání.
$Verbose	Podrobné
$VerboseMaintenance_Help	Zaškrtněte tuto volbu pro zobrazení dodatečných informací během práce zavaděče.
$JunkIt_DebugMode	Režim ladění
$JunkIt_DebugMode_Help	Varování: Pro správnou funkci režimu ladění je vyžadován PapyrusUtils.
$JunkIt_Confirm	Ok
$JunkIt_AggressiveRefresh	Agresivní obnovení
$JunkIt_AggressiveRefresh_Help	Vynutí uživatelskému rozhraní spuštění obnovení UI každých 5 sekund až do nastavení maximální doby obnovení po zpracování přenosu odpadových předmětů. Toto je poslední možnost, pokud máte problém s tím, že se UI po přenosu odpadu plně neobnovuje.
$JunkIt_AggressiveRefreshMaxInterval	Maximální doba obnovení
$JunkIt_AggressiveRefreshMaxInterval	Maximální počet sekund pro agresivní obnovení UI. Výchozí je 10 sekund.
$JunkIt_I4IntegrationHeader	Integrace I4
$JunkIt_UpdateSubTypeDisplay	Přepsat text typu předmětu
$JunkIt_UpdateSubTypeDisplay_Help	Pokud je povoleno, předměty označené jako Odpad budou zobrazovat "Odpad" jako text typu předmětu v inventářových menu prostřednictvím Inventory Injector (I4). Zakázat pro zachování původního textu typu předmětu.
$JunkIt_UpdateItemIcon	Přepsat ikonu inventáře
$JunkIt_UpdateItemIcon_Help	Pokud je povoleno, předměty označené jako Odpad budou zobrazovat ikonu Odpadu v inventářových menu prostřednictvím Inventory Injector (I4). Toto nastavení je automaticky zakázáno, když je aktivní ikona DIII (Dynamic Inventory Icon Injector), protože DIII má přednost.
$JunkIt_DIIIIntegrationHeader	Integrace DIII
$JunkIt_UseDynamicInventoryIcon	Dynamická ikona inventáře
$JunkIt_UseDynamicInventoryIcon_Help	Pokud je povoleno, předměty označené jako Odpad budou zobrazovat ikonu Odpadu prostřednictvím Dynamic Inventory Icon Injector (DIII). Toto nastavení vyžaduje instalaci DIII a má přednost před nastavením ikony I4, když je aktivní.
