$JunkItMCM	Junk It
$JunkIt_NotifyOnJunkSell	売却通知
$JunkIt_NotifyOnJunkSell_Help	一括売却アクションに関する通知を有効にします
$JunkIt_NotifyLargeInventoryLag	大規模インベントリ転送時に警告
$JunkIt_NotifyLargeInventoryLag_Help	大量のアイテムを含むコンテナで転送/売却する際に警告メッセージを有効にします。コンテナに多数のアイテムがある場合、アイテム転送中にゲームエンジンが遅延します。コンテナ内のアイテムが多いほど、JunkItと通常の単一アイテム転送の両方でアイテム転送中の遅延が大きくなります。
$JunkIt_WarnInventorySizeThreshold	インベントリサイズ警告のしきい値
$JunkIt_WarnInventorySizeThreshold_Help	コンテナとプレイヤーのインベントリ内のアイテムの合計数が大規模インベントリ警告をトリガーします。設定に応じて調整してください。性能の低いコンピューターの場合、これを100に減らすことをお勧めします。
$JunkIt_UtilityHeader	ユーティリティ
$JunkIt_JunkList_Page	ジャンクリスト
$JunkIt_JunkList_UtilityHeader	ジャンクリストユーティリティ
$JunkIt_ResetJunk	ジャンクリストをリセット
$JunkIt_ResetingJunk	ジャンクをリセット中、お待ちください...
$JunkIt_JunkReset	ジャンクリストがリセットされました!
$JunkIt_ResetJunk_Help	すべてのジャンクアイテムをクリアし、以前の状態にリセットします
$JunkIt_SaveJunkListToFile	ジャンクリストをエクスポート
$JunkIt_SavingJunkList	リストをエクスポート中、お待ちください...
$JunkIt_JunkSaved	ジャンクリストがエクスポートされました!
$JunkIt_SaveJunkListToFile_Help	現在ジャンクとしてマークされているアイテムをエクスポートします。これは後でインポートして現在のジャンクリストと一致させることができます
$JunkIt_AutoSaveJunkListToFile	保存時に自動エクスポート
$JunkIt_AutoSaveJunkListToFile_Help	有効にすると、「ジャンク」としてマークしたアイテムのリストがゲームを保存するたびにファイルにエクスポートされます。
$JunkIt_LoadJunkListFromFile	ジャンクリストをインポート
$JunkIt_LoadingJunkList	リストをインポート中、お待ちください...
$JunkIt_JunkLoaded	ジャンクリストが更新されました!
$JunkIt_JunkReplaced	ジャンクリストが置き換えられました!
$JunkIt_LoadJunkListFromFile_Help	ファイルからジャンクアイテムをインポートします
$JunkIt_AutoLoadJunkListFromFile	新規ゲーム時に自動インポート
$JunkIt_AutoLoadJunkListFromFile_Help	有効にすると、新規ゲームは「ジャンク」として事前マークされるアイテムを自動的にインポートします
$JunkIt_ReplaceJunkListOnLoad	インポート時に現在のジャンクリストを置き換え
$JunkIt_ReplaceJunkListOnLoad_Help	有効にすると、ジャンクリストのインポートは現在マークされているアイテムをリセットして置き換えます。無効にすると、インポートされたジャンクリストアイテムは現在マークされているアイテムのリストに追加されます。
$JunkIt_JunkList_ListHeader	ジャンクリスト履歴
$JunkIt_PreviousPage	前のページ
$JunkIt_NextPage	次のページ
$JunkIt_JunkList_Item_Help	クリックしてこのアイテムがジャンクかどうかを切り替えます
$AutoloadJunkList_Header	自動ジャンクリスト設定
$JunkIt_TransferConfirmation	ジャンクアイテムを転送しますか?
$JunkIt_RetrievalConfirmation	ジャンクアイテムを取得しますか?
$JunkIt_SellConfirmation	ジャンクアイテムを売却しますか?
$JunkIt_TransferConfirmYes	転送
$JunkIt_RetrieveConfirmYes	取得
$JunkIt_SellConfirmYes	売却
$JunkIt_ConfirmNo	キャンセル
$Maintenance_Page	メンテナンス
$AutoloadSettings_Header	自動読み込み設定
$Enabled	有効
$EnabledMaintenance_Help	モッド固有の変数を読み込みたくない場合は、このオプションのチェックを外してください。これは設定ファイル内の変数には適用されず、スクリプトが新しいバージョンにアップグレードされたときにも適用されません。このオプションを無効にすると、自動読み込み中に他のモッドとの競合がある場合に便利です。
$LoadingDelay	読み込み遅延
$LoadingDelayMaintenance_Help	設定の読み込み遅延(秒)。モッドの初期化に時間がかかる場合に便利です。
$LoadSettings	設定を読み込む
$LoadSettingsMaintenance_Help	モッドに設定の再読み込みを強制します。自動読み込みが無効の場合に便利です。
$ResetSettings	設定をリセット
$ResetSettingsMaintenance_Help	設定をデフォルト値にリセットします。
$LoadSettingsOnReload	再読み込み時に設定を読み込む
$LoadSettingsOnReloadMaintenance_Help	ゲームをロードするたびに設定を読み込みたい場合は、このオプションをチェックしてください。設定を元に戻すものがある場合に便利です。このオプションは、ベースモッドがOnGameReloadイベントを使用していない場合、または自動読み込みを無効にしている場合は機能しません。
$Verbose	詳細
$VerboseMaintenance_Help	ローダーの動作中に追加情報を表示するには、このオプションをチェックしてください。
$JunkIt_DebugMode	デバッグモード
$JunkIt_DebugMode_Help	警告:デバッグモードが正しく動作するにはPapyrusUtilsが必要です。
$JunkIt_Confirm	Ok
$JunkIt_AggressiveRefresh	アグレッシブリフレッシュ
$JunkIt_AggressiveRefresh_Help	ジャンクアイテムの転送を処理した後、最大リフレッシュ時間まで5秒ごとにUIリフレッシュをトリガーするようUIに強制します。これは、ジャンクの転送後にUIが完全にリフレッシュされない場合の最後の手段です。
$JunkIt_AggressiveRefreshMaxInterval	最大リフレッシュ時間
$JunkIt_AggressiveRefreshMaxInterval	UIをアグレッシブにリフレッシュする最大秒数。デフォルトは10秒です。
$JunkIt_I4IntegrationHeader	I4統合
$JunkIt_UpdateSubTypeDisplay	アイテムタイプテキストの上書き
$JunkIt_UpdateSubTypeDisplay_Help	有効にすると、ジャンクとしてマークされたアイテムは、Inventory Injector(I4)を介してインベントリメニューでアイテムタイプテキストとして「ジャンク」を表示します。元のアイテムタイプテキストを保持するには無効にします。
$JunkIt_UpdateItemIcon	インベントリアイコンの上書き
$JunkIt_UpdateItemIcon_Help	有効にすると、ジャンクとしてマークされたアイテムは、Inventory Injector(I4)を介してインベントリメニューでジャンクアイコンを表示します。この設定は、DIII(Dynamic Inventory Icon Injector)アイコンがアクティブな場合、DIIIが優先されるため自動的に無効になります。
$JunkIt_DIIIIntegrationHeader	DIII統合
$JunkIt_UseDynamicInventoryIcon	ダイナミックインベントリアイコン
$JunkIt_UseDynamicInventoryIcon_Help	有効にすると、ジャンクとしてマークされたアイテムは、Dynamic Inventory Icon Injector(DIII)を介してジャンクアイコンを表示します。この設定はDIIIのインストールが必要であり、アクティブな場合はI4アイコン設定よりも優先されます。
